,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-09-26 11:32:44,2024-09-26 11:32:38,6361.0,74.0,3381.0,132.0,3016.0,24.0,2370.0,20384.0,2024-09-26 07:49:40,9.5.38,100.0,Documentation that simply works.,53548.0,53548.0,281.0,https://pypi.org/project/mkdocs-material,5372810.0,5372810.0,42,True,1.0,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-09-26 05:55:07,2024-09-26 05:53:23,1791.0,19.0,255.0,7.0,1988.0,10.0,367.0,954.0,2024-09-26 05:54:30,10.10.2,93.0,Extensions for Python Markdown.,36392.0,36392.0,47.0,https://pypi.org/project/pymdown-extensions,5117801.0,5117801.0,33,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",1.0,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-09-06 10:25:49,2024-09-06 10:25:44,678.0,25.0,102.0,14.0,178.0,48.0,355.0,1692.0,2024-09-06 10:26:02,0.26.1,15.0,"Automatic documentation from sources, for MkDocs.",15064.0,15064.0,45.0,https://pypi.org/project/mkdocstrings,1580071.0,1580071.0,32,True,1.0,,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-09-12 11:02:52,2024-09-12 11:00:37,311.0,15.0,39.0,4.0,53.0,12.0,82.0,202.0,2024-09-12 11:01:27,1.2.9,46.0,MkDocs plugin to add a last updated date to your site pages.,7610.0,7610.0,28.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,472835.0,472835.0,30,True,1.0,,,,,,,,,,,,
4,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-09-26 08:33:00,2024-09-26 08:30:38,259.0,11.0,48.0,5.0,57.0,5.0,122.0,325.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3789.0,3789.0,33.0,https://pypi.org/project/mkdocs-macros-plugin,451400.0,451400.0,28,True,1.0,,1.0,,,,,,,,,,
5,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-09-12 05:44:32,2024-09-12 05:40:51,326.0,26.0,54.0,11.0,32.0,1.0,69.0,195.0,2024-09-12 05:47:09,3.10.4,50.0,PlantUML plugin for Python-Markdown.,1477.0,1477.0,29.0,https://pypi.org/project/plantuml-markdown,358338.0,358338.0,28,True,1.0,plantuml_markdown,,,,,,,,,,,
6,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-08-13 05:02:19,2024-08-13 05:01:26,346.0,5.0,46.0,6.0,24.0,9.0,171.0,541.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,3352.0,3352.0,9.0,https://pypi.org/project/mike,409617.0,409620.0,27,True,1.0,,,282.0,,,,,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-07-28 14:29:37,2024-07-28 14:28:43,106.0,4.0,36.0,8.0,20.0,22.0,64.0,469.0,2024-07-25 21:13:28,2.9.3,25.0,An MkDocs plugin that simplifies configuring page titles and their order.,4596.0,4596.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,355883.0,355883.0,26,True,1.0,,,,,,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-09-04 16:05:20,2024-09-04 16:05:17,250.0,11.0,47.0,6.0,91.0,28.0,101.0,383.0,,,,Use Jupyter Notebook in mkdocs.,2870.0,2870.0,30.0,https://pypi.org/project/mkdocs-jupyter,137141.0,137141.0,25,True,1.0,,,,,,,,,,,,
9,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-06-24 17:56:34,2024-06-24 17:56:34,107.0,,20.0,136.0,29.0,11.0,22.0,178.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,4029.0,4029.0,15.0,https://pypi.org/project/mkdocs-redirects,367740.0,367740.0,24,True,1.0,,1.0,,,,,,,,,,
