,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url,updated_github_id
0,Material for MkDocs,squidfunk/mkdocs-material,mkdocs-material,"['theme', 'markdown']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2022-06-30 15:09:58,2022-06-30 15:08:35,4376.0,215.0,2251.0,96.0,1921.0,8.0,1433.0,10166.0,2022-06-24 13:31:09,8.3.8,100.0,Documentation that simply works.,14646.0,14646.0,158.0,https://pypi.org/project/mkdocs-material,1067068.0,1067068.0,41,True,1.0,,,,,
1,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2022-06-22 19:36:29,2022-05-15 19:07:48,183.0,4.0,33.0,5.0,40.0,4.0,74.0,147.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",969.0,969.0,24.0,https://pypi.org/project/mkdocs-macros-plugin,84013.0,84013.0,25,True,1.0,,,,,
2,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,"['plugin', 'markdown']",api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2022-06-26 13:17:35,2022-06-26 13:17:34,524.0,15.0,73.0,9.0,140.0,38.0,232.0,755.0,2022-05-28 15:57:31,0.19.0,4.0,"Automatic documentation from sources, for MkDocs.",,,30.0,https://pypi.org/project/mkdocstrings,167941.0,167941.0,24,True,1.0,,,,,
3,PyMdown Extensions,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2022-06-30 10:00:45,2022-06-13 00:23:24,1608.0,40.0,215.0,7.0,1420.0,13.0,280.0,608.0,2022-06-06 14:22:01,9.5,59.0,Extensions for Python Markdown.,,,32.0,https://pypi.org/project/pymdown-extensions,783084.0,783084.0,24,True,1.0,,,,,
4,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2022-06-27 17:08:47,2022-03-30 09:54:10,244.0,,20.0,4.0,35.0,2.0,54.0,70.0,2022-03-30 09:56:18,1.0.1,35.0,MkDocs plugin to add a last updated date to your site pages.,1506.0,1506.0,19.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,78118.0,78118.0,24,True,1.0,,,,,
5,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2022-06-16 04:49:30,2022-06-16 04:49:21,265.0,14.0,19.0,5.0,14.0,6.0,88.0,208.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,508.0,508.0,8.0,https://pypi.org/project/mike,47858.0,47860.0,23,True,1.0,117.0,,,,
6,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2022-06-27 11:48:14,2022-06-27 11:48:12,1561.0,173.0,19.0,2.0,908.0,11.0,25.0,101.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,199.0,199.0,13.0,https://pypi.org/project/mknotebooks,21241.0,21241.0,23,True,1.0,,-1.0,,,
7,mkdocs-with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2022-06-24 01:39:13,2021-10-14 20:29:54,188.0,,37.0,7.0,38.0,37.0,40.0,154.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,148.0,148.0,6.0,https://pypi.org/project/mkdocs-with-pdf,13136.0,13136.0,22,True,1.0,,,,,
8,mkdocs-redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2022-05-16 21:17:49,2022-03-30 19:21:46,63.0,,11.0,149.0,19.0,10.0,9.0,68.0,2022-03-30 19:23:49,1.0.4,5.0,Open source plugin for Mkdocs page redirects.,834.0,834.0,9.0,https://pypi.org/project/mkdocs-redirects,58477.0,58477.0,22,True,1.0,,,,,
9,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-03-11 23:29:09,2021-10-05 01:31:10,72.0,,35.0,17.0,30.0,38.0,45.0,242.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,242.0,242.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,17332.0,17332.0,21,True,2.0,,,,,
